total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,3.048982856,3.184137221,3.33580465,3.482987514,3.502759833,3.36491653,3.454958755,3.489711223,3.546261517,3.638722309,3.759807117,3.930307588,3.933383333,4.096862744,4.098324605,4.120243006,4.155398319,4.385637081,4.554715478,4.738833246,4.722278876,4.903953077,4.733183216,4.603453818,4.834652359,4.886744919,4.988900709,4.93937582,4.885880435,5.005209262,5.061720987
Cayman Islands,0.001519515,0.001604863,0.003908296,0.0038981,0.004143399,0.00410115,0.004159819,0.003942102,0.004547746,0.004872268,0.004885616,0.004873146,0.004873146,0.004873167,0.007106775,0.007196546,0.007459981,0.007556409,0.007142248,0.007352567,0.007457443,0.008912809,0.009152626,0.008493058,0.008532452,0.008982827,0.008299163,0.008192369,0.008330495,0.008811742,0.008674789
Central African Republic,0.003490568,0.003206885,0.003215371,0.003206885,0.003440499,0.003653112,0.0034704,0.003860067,0.004067022,0.004066563,0.004290899,0.004279634,0.004279634,0.004279649,0.004627619,0.004805653,0.004805653,0.004544096,0.004522369,0.004625022,0.004855786,0.004948923,0.005037715,0.005037715,0.005209695,0.005442808,0.005671643,0.005632317,0.005693966,0.005752768,0.005794035
Chad,0.003905135,0.003468522,0.002107094,0.002310553,0.004842245,0.004734707,0.004747679,0.002278184,0.002490797,0.002490797,0.002497621,0.002697752,0.002697752,0.002697752,0.003521715,0.003380168,0.003336714,0.003298285,0.003474965,0.003740063,0.003796554,0.003831318,0.003855882,0.004073154,0.004416996,0.004647304,0.004660037,0.00469945,0.00469945,0.004808796,0.004870501
Chile,0.209375347,0.218216686,0.242151821,0.273415196,0.295262199,0.310241683,0.335589709,0.363639954,0.397469264,0.431152551,0.470938105,0.496350428,0.515177423,0.527413141,0.483083899,0.46953007,0.482816132,0.50228211,0.534986649,0.554028094,0.567220834,0.718218948,0.757142159,0.704651411,0.650950271,0.672539107,0.672740499,0.684490521,0.676517804,0.668712094,0.710714602
China,4.361179505,4.583327995,4.901685012,5.098849615,4.911002365,5.10769904,5.65465791,6.256997535,6.63366987,7.045953795,7.883265582,7.498833568,8.46390032,8.978183495,9.652490692,9.883304226,10.66870594,11.8532622,13.99649815,14.27620681,15.32877414,16.19389913,16.45946447,17.34506122,19.04033826,20.48698923,21.55855824,22.50531981,23.56275764,25.04304336,23.912695
Colombia,0.338908048,0.36677828,0.394836408,0.412918295,0.388738505,0.40496093,0.455975976,0.47706157,0.485103469,0.501626435,0.554020385,0.567095317,0.576343578,0.553976779,0.562445233,0.548870464,0.546337633,0.533995136,0.567071558,0.551161329,0.574303896,0.543931049,0.554680844,0.524468171,0.546237344,0.626772593,0.672141624,0.669764589,0.690770654,0.696152331,0.7268504
Comoros,0.000344091,0.000748207,0.000749374,0.000748207,0.000888831,0.000857187,0.000858934,0.000857187,0.000857187,0.000856587,0.000858934,0.000857187,0.001048922,0.001048939,0.001475394,0.001540576,0.001540576,0.001967424,0.002154279,0.00206737,0.002414631,0.001578951,0.001610723,0.001975741,0.002355781,0.002111567,0.002217072,0.002660491,0.002374466,0.00256362,0.003009193
Congo-Brazzaville,0.011640624,0.013022848,0.011496759,0.013022848,0.014166348,0.012414676,0.012128837,0.011150349,0.010726036,0.010738154,0.010576229,0.010300994,0.010335632,0.00866229,0.0092607,0.011840087,0.009559248,0.012393718,0.013433541,0.015077198,0.017448619,0.020341451,0.022013226,0.025272756,0.028035264,0.030909598,0.030611061,0.034895287,0.035674392,0.035402838,0.034381215
Congo-Kinshasa,0.043320507,0.038641411,0.048168955,0.045359684,0.042642677,0.044833206,0.051152709,0.053017966,0.041159554,0.042353527,0.044365317,0.043001198,0.040742979,0.043365753,0.016380033,0.014520618,0.016465481,0.019322048,0.021279548,0.026407053,0.029755109,0.030043754,0.025526477,0.021823324,0.031496033,0.038428638,0.03784033,0.055037814,0.074714485,0.043369464,0.03265707
